,Time,Temperature (F),Humidity(%),Pressure(mb),Wind Speed (mph),Wind Direction,Weather description
0,2019-08-10 03:00:00,67.14,44,1009.3,9.44,319.574,few clouds
1,2019-08-10 06:00:00,65.44,51,1009.19,11.12,306.916,clear sky
2,2019-08-10 09:00:00,64.72,56,1009.81,9.28,304.039,clear sky
3,2019-08-10 12:00:00,68.32,50,1010.27,9.93,301.866,clear sky
4,2019-08-10 15:00:00,77.12,37,1010.58,11.1,298.797,clear sky
5,2019-08-10 18:00:00,81.77,31,1009.61,11.99,296.953,clear sky
6,2019-08-10 21:00:00,81.41,32,1009.27,12.3,314.661,few clouds
7,2019-08-11 00:00:00,75.11,44,1011.45,11.27,326.591,few clouds
8,2019-08-11 03:00:00,70.06,46,1013.53,10.07,331.915,clear sky
9,2019-08-11 06:00:00,66.56,53,1014.6,7.85,325.984,clear sky
10,2019-08-11 09:00:00,64.37,59,1015.39,7.72,317.988,clear sky
11,2019-08-11 12:00:00,66.07,54,1017.0,7.05,325.096,clear sky
12,2019-08-11 15:00:00,74.81,38,1017.24,7.81,322.277,clear sky
13,2019-08-11 18:00:00,80.52,31,1016.49,7.4,312.748,clear sky
14,2019-08-11 21:00:00,82.05,29,1015.61,8.21,313.465,clear sky
15,2019-08-12 00:00:00,78.79,34,1015.49,3.85,315.992,clear sky
16,2019-08-12 03:00:00,74.71,45,1016.59,3.53,303.821,broken clouds
17,2019-08-12 06:00:00,72.41,48,1016.49,3.15,288.512,scattered clouds
18,2019-08-12 09:00:00,70.22,51,1016.08,3.22,288.335,clear sky
19,2019-08-12 12:00:00,72.36,48,1017.0,5.26,277.57,clear sky
20,2019-08-12 15:00:00,81.69,37,1016.1,7.14,265.108,broken clouds
21,2019-08-12 18:00:00,86.99,31,1014.64,9.86,253.301,broken clouds
22,2019-08-12 21:00:00,87.53,33,1012.44,10.49,254.888,broken clouds
23,2019-08-13 00:00:00,82.86,43,1012.68,8.08,250.244,broken clouds
24,2019-08-13 03:00:00,80.0,58,1012.6,8.25,240.853,overcast clouds
25,2019-08-13 06:00:00,78.03,61,1010.56,9.69,212.05,overcast clouds
26,2019-08-13 09:00:00,75.53,65,1009.77,10.98,214.172,light rain
27,2019-08-13 12:00:00,74.32,77,1009.47,12.19,229.045,light rain
28,2019-08-13 15:00:00,75.65,76,1007.55,12.33,201.68,light rain
29,2019-08-13 18:00:00,89.87,48,1005.58,15.14,233.536,overcast clouds
30,2019-08-13 21:00:00,88.79,52,1003.57,15.21,245.747,overcast clouds
31,2019-08-14 00:00:00,84.71,62,1004.64,13.35,256.741,light rain
32,2019-08-14 03:00:00,78.72,71,1006.97,10.96,299.606,light rain
33,2019-08-14 06:00:00,74.18,71,1007.99,9.64,321.324,light rain
34,2019-08-14 09:00:00,68.3,70,1010.05,9.8,7.832,overcast clouds
35,2019-08-14 12:00:00,68.3,71,1013.02,10.71,17.894,overcast clouds
36,2019-08-14 15:00:00,76.01,51,1014.92,7.4,33.003,broken clouds
37,2019-08-14 18:00:00,83.39,33,1014.56,5.97,41.573,scattered clouds
38,2019-08-14 21:00:00,84.47,30,1014.4,4.52,40.515,overcast clouds
39,2019-08-15 00:00:00,79.63,37,1015.81,3.27,95.08,overcast clouds
